1,20,55
1,20,56
1,20,57
1,20,58
1,20,59
1,20,60
1,20,61
1,20,62
1,19,62
1,19,63
1,19,64
1,6,11
1,7,11
1,7,12
1,7,13
1,8,13
1,8,14
1,8,15
1,9,15
1,9,16
1,9,17
1,10,17
1,10,18
1,11,18
1,12,18
1,12,19
1,13,19
1,14,19
1,15,19
1,16,19
1,22,8
1,22,9
1,21,9
1,21,10
1,20,10
1,20,11
1,19,11
1,19,12
1,18,12
1,18,13
1,18,14
1,17,14
1,17,15
1,17,16
1,16,16
1,16,17
1,16,18
1,16,19
1,30,25
1,30,26
1,30,27
1,29,27
1,29,28
1,28,28
1,28,29
1,27,29
1,26,29
1,26,30
1,25,30
1,24,30
1,23,30
1,22,30
1,21,30
1,20,30
1,19,30
1,18,30
1,17,30
1,16,30
1,16,19
1,16,20
1,16,21
1,16,22
1,16,23
1,16,24
1,16,25
1,16,26
1,16,27
1,16,28
1,16,29
1,16,30
1,5,47
1,6,47
1,6,46
1,6,45
1,7,45
1,7,44
1,8,44
1,8,43
1,9,43
1,10,43
1,11,43
1,11,42
1,12,42
1,13,42
1,14,42
1,15,42
1,15,43
1,16,43
1,17,43
1,17,44
1,18,44
1,16,30
1,16,31
1,16,32
1,16,33
1,17,33
1,17,34
1,17,35
1,17,36
1,17,37
1,18,37
1,18,38
1,18,39
1,18,40
1,18,41
1,18,42
1,18,43
1,18,44
1,34,47
1,34,48
1,34,49
1,33,49
1,33,50
1,33,51
1,33,52
1,32,52
1,32,53
1,31,53
1,31,54
1,30,54
1,29,54
1,28,54
1,27,54
1,26,54
1,25,54
1,25,55
1,24,55
1,23,55
1,22,55
1,21,55
1,20,55
1,18,44
1,18,45
1,19,45
1,19,46
1,19,47
1,19,48
1,19,49
1,19,50
1,19,51
1,20,51
1,20,52
1,20,53
1,20,54
1,20,55
